order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_amount,line_total,line_profit
ITEM-0000001,ORD-000001,PROD-0168,1,180.31,98.35,0.0,180.31,81.96
ITEM-0000002,ORD-000001,PROD-0125,3,14.84,6.3,0.0,44.52,25.62
ITEM-0000003,ORD-000002,PROD-0135,3,161.12,63.01,0.0,483.36,294.33
ITEM-0000004,ORD-000002,PROD-0009,1,1051.81,420.85,0.0,1051.81,630.96
ITEM-0000005,ORD-000003,PROD-0075,2,99.97,52.21,5.0,189.94,85.52
ITEM-0000006,ORD-000004,PROD-0147,3,130.44,86.16,6.52,371.76,113.28
ITEM-0000007,ORD-000005,PROD-0149,3,268.33,98.43,0.0,804.99,509.7
ITEM-0000008,ORD-000006,PROD-0010,2,1052.31,472.02,105.23,1894.16,950.12
ITEM-0000009,ORD-000006,PROD-0056,1,743.82,402.26,74.38,669.44,267.18
ITEM-0000010,ORD-000007,PROD-0054,3,673.51,351.72,33.68,1919.49,864.33
ITEM-0000011,ORD-000008,PROD-0042,3,37.56,21.85,3.76,101.4,35.85
ITEM-0000012,ORD-000009,PROD-0189,1,219.38,98.56,0.0,219.38,120.82
ITEM-0000013,ORD-000009,PROD-0188,1,98.99,62.22,0.0,98.99,36.77
ITEM-0000014,ORD-000009,PROD-0175,1,450.55,174.7,0.0,450.55,275.85
ITEM-0000015,ORD-000010,PROD-0098,1,44.14,17.3,0.0,44.14,26.84
ITEM-0000016,ORD-000011,PROD-0051,2,757.84,436.7,0.0,1515.68,642.28
ITEM-0000017,ORD-000011,PROD-0027,2,90.01,57.62,0.0,180.02,64.78
ITEM-0000018,ORD-000012,PROD-0046,3,111.72,52.54,11.17,301.65,144.03
ITEM-0000019,ORD-000013,PROD-0172,1,228.9,156.43,0.0,228.9,72.47
ITEM-0000020,ORD-000013,PROD-0195,3,253.09,136.05,0.0,759.27,351.12
ITEM-0000021,ORD-000014,PROD-0086,2,548.14,202.22,27.41,1041.46,637.02
ITEM-0000022,ORD-000015,PROD-0166,3,146.75,66.19,0.0,440.25,241.68
ITEM-0000023,ORD-000016,PROD-0027,3,90.01,57.62,0.0,270.03,97.17
ITEM-0000024,ORD-000016,PROD-0200,2,85.95,51.49,0.0,171.9,68.92
ITEM-0000025,ORD-000016,PROD-0171,2,222.3,111.96,0.0,444.6,220.68
ITEM-0000026,ORD-000016,PROD-0195,1,253.09,136.05,0.0,253.09,117.04
ITEM-0000027,ORD-000016,PROD-0120,2,60.87,22.41,0.0,121.74,76.92
ITEM-0000028,ORD-000017,PROD-0113,3,74.56,31.26,0.0,223.68,129.9
ITEM-0000029,ORD-000017,PROD-0109,3,83.99,34.52,0.0,251.97,148.41
ITEM-0000030,ORD-000018,PROD-0153,3,12.34,6.0,1.23,33.33,15.33
ITEM-0000031,ORD-000019,PROD-0136,1,209.97,107.96,0.0,209.97,102.01
ITEM-0000032,ORD-000019,PROD-0054,3,673.51,351.72,0.0,2020.53,965.37
ITEM-0000033,ORD-000019,PROD-0172,2,228.9,156.43,0.0,457.8,144.94
ITEM-0000034,ORD-000019,PROD-0105,3,11.07,4.03,0.0,33.21,21.12
ITEM-0000035,ORD-000020,PROD-0122,3,57.35,21.1,2.87,163.44,100.14
ITEM-0000036,ORD-000020,PROD-0171,3,222.3,111.96,11.12,633.54,297.66
ITEM-0000037,ORD-000020,PROD-0031,2,55.69,23.22,2.78,105.82,59.38
ITEM-0000038,ORD-000021,PROD-0062,1,743.37,422.1,0.0,743.37,321.27
ITEM-0000039,ORD-000021,PROD-0148,2,227.91,118.46,0.0,455.82,218.9
