order_id,customer_id,order_date,order_status,channel,discount_pct,shipping_days,is_first_order
ORD-000001,CUST-02746,2022-01-01,completed,social_media,0,6.0,False
ORD-000002,CUST-02767,2022-01-01,completed,social_media,0,3.0,False
ORD-000003,CUST-01115,2022-01-01,completed,social_media,5,1.0,False
ORD-000004,CUST-01449,2022-01-01,completed,organic_search,5,3.0,False
ORD-000005,CUST-00944,2022-01-01,completed,organic_search,0,5.0,False
ORD-000006,CUST-01789,2022-01-01,completed,paid_search,10,4.0,True
ORD-000007,CUST-01626,2022-01-01,completed,organic_search,5,3.0,False
ORD-000008,CUST-04883,2022-01-01,completed,email,10,4.0,False
ORD-000009,CUST-01409,2022-01-01,completed,email,0,4.0,False
ORD-000010,CUST-04501,2022-01-01,returned,referral,0,4.0,True
ORD-000011,CUST-01848,2022-01-02,completed,organic_search,0,1.0,False
ORD-000012,CUST-03334,2022-01-02,completed,email,10,7.0,False
ORD-000013,CUST-00412,2022-01-02,completed,paid_search,0,2.0,False
ORD-000014,CUST-01907,2022-01-02,completed,social_media,5,4.0,False
ORD-000015,CUST-00745,2022-01-02,completed,referral,0,5.0,False
ORD-000016,CUST-01060,2022-01-02,completed,direct,0,7.0,False
ORD-000017,CUST-04587,2022-01-02,completed,email,0,6.0,False
ORD-000018,CUST-00191,2022-01-02,completed,paid_search,10,5.0,True
ORD-000019,CUST-03138,2022-01-02,completed,direct,0,6.0,False
ORD-000020,CUST-00353,2022-01-02,completed,email,5,1.0,False
ORD-000021,CUST-04954,2022-01-02,completed,direct,0,1.0,False
ORD-000022,CUST-04173,2022-01-03,completed,referral,0,2.0,True
ORD-000023,CUST-01805,2022-01-03,completed,social_media,5,7.0,True
ORD-000024,CUST-04959,2022-01-03,completed,direct,5,7.0,True
ORD-000025,CUST-01982,2022-01-03,completed,direct,0,1.0,True
ORD-000026,CUST-01606,2022-01-03,completed,direct,10,6.0,False
ORD-000027,CUST-01644,2022-01-03,completed,referral,0,4.0,True
ORD-000028,CUST-01944,2022-01-03,completed,referral,0,7.0,True
ORD-000029,CUST-00382,2022-01-03,cancelled,referral,0,,True
ORD-000030,CUST-00765,2022-01-03,completed,social_media,0,2.0,False
ORD-000031,CUST-01311,2022-01-03,completed,direct,0,6.0,True
ORD-000032,CUST-03022,2022-01-03,completed,organic_search,0,4.0,False
ORD-000033,CUST-03781,2022-01-03,completed,social_media,0,7.0,True
ORD-000034,CUST-02641,2022-01-03,completed,email,0,1.0,True
ORD-000035,CUST-04666,2022-01-03,returned,referral,10,5.0,False
ORD-000036,CUST-04981,2022-01-03,completed,email,5,1.0,False
ORD-000037,CUST-03630,2022-01-03,completed,email,0,5.0,False
ORD-000038,CUST-04265,2022-01-03,completed,organic_search,0,6.0,False
ORD-000039,CUST-03651,2022-01-04,completed,referral,5,2.0,False
ORD-000040,CUST-02369,2022-01-04,completed,social_media,0,3.0,False
ORD-000041,CUST-01900,2022-01-04,completed,email,5,6.0,True
ORD-000042,CUST-03788,2022-01-04,completed,organic_search,0,6.0,True
ORD-000043,CUST-00600,2022-01-04,completed,paid_search,10,4.0,False
ORD-000044,CUST-03718,2022-01-04,completed,organic_search,0,1.0,False
ORD-000045,CUST-01247,2022-01-04,completed,paid_search,0,2.0,True
ORD-000046,CUST-00592,2022-01-04,completed,email,5,4.0,True
ORD-000047,CUST-04290,2022-01-04,completed,organic_search,0,6.0,True
ORD-000048,CUST-01997,2022-01-04,completed,referral,0,1.0,True
ORD-000049,CUST-00430,2022-01-04,completed,referral,0,6.0,False
ORD-000050,CUST-04350,2022-01-04,completed,organic_search,0,6.0,True
ORD-000051,CUST-04145,2022-01-05,completed,direct,0,2.0,True
ORD-000052,CUST-04411,2022-01-05,completed,organic_search,10,4.0,False
ORD-000053,CUST-01315,2022-01-05,completed,social_media,0,1.0,False
ORD-000054,CUST-01075,2022-01-05,completed,paid_search,10,7.0,True
ORD-000055,CUST-03970,2022-01-05,completed,social_media,0,7.0,True
ORD-000056,CUST-03454,2022-01-05,completed,direct,10,2.0,True
ORD-000057,CUST-01217,2022-01-05,completed,organic_search,0,4.0,True
ORD-000058,CUST-01379,2022-01-05,completed,email,0,4.0,False
ORD-000059,CUST-03595,2022-01-05,completed,direct,15,6.0,True
ORD-000060,CUST-01448,2022-01-05,completed,email,10,6.0,False
ORD-000061,CUST-01160,2022-01-05,completed,organic_search,5,2.0,True
ORD-000062,CUST-00225,2022-01-05,completed,email,5,7.0,True
ORD-000063,CUST-03880,2022-01-05,completed,email,0,6.0,False
ORD-000064,CUST-02908,2022-01-05,completed,social_media,0,1.0,False
ORD-000065,CUST-00687,2022-01-05,completed,referral,5,5.0,False
ORD-000066,CUST-03872,2022-01-06,completed,organic_search,0,7.0,False
ORD-000067,CUST-04512,2022-01-06,completed,social_media,0,1.0,True
ORD-000068,CUST-02395,2022-01-06,cancelled,email,0,,False
ORD-000069,CUST-00811,2022-01-06,completed,direct,0,3.0,True
ORD-000070,CUST-02671,2022-01-06,completed,direct,0,7.0,True
ORD-000071,CUST-03075,2022-01-06,completed,direct,10,5.0,False
ORD-000072,CUST-04098,2022-01-06,completed,organic_search,0,5.0,False
ORD-000073,CUST-00923,2022-01-06,completed,social_media,0,3.0,True
ORD-000074,CUST-00555,2022-01-06,completed,paid_search,0,1.0,True
ORD-000075,CUST-00575,2022-01-06,completed,organic_search,15,5.0,False
ORD-000076,CUST-00516,2022-01-06,returned,paid_search,0,6.0,False
ORD-000077,CUST-02275,2022-01-07,completed,direct,10,1.0,False
ORD-000078,CUST-03161,2022-01-07,completed,organic_search,0,4.0,False
ORD-000079,CUST-02417,2022-01-07,completed,direct,0,1.0,False
ORD-000080,CUST-00955,2022-01-07,completed,organic_search,0,7.0,False
ORD-000081,CUST-04413,2022-01-07,completed,social_media,0,1.0,False
ORD-000082,CUST-04578,2022-01-07,completed,referral,0,1.0,False
ORD-000083,CUST-00992,2022-01-07,completed,organic_search,5,1.0,False
ORD-000084,CUST-00911,2022-01-07,completed,referral,0,7.0,False
ORD-000085,CUST-02541,2022-01-07,cancelled,direct,0,,True
ORD-000086,CUST-03034,2022-01-07,completed,referral,0,3.0,True
ORD-000087,CUST-00765,2022-01-07,completed,email,5,7.0,False
ORD-000088,CUST-01306,2022-01-07,completed,email,0,1.0,False
ORD-000089,CUST-00197,2022-01-07,completed,direct,0,2.0,False
ORD-000090,CUST-04860,2022-01-08,completed,direct,0,5.0,True
ORD-000091,CUST-00467,2022-01-08,completed,social_media,0,7.0,True
ORD-000092,CUST-01117,2022-01-08,completed,social_media,0,6.0,False
ORD-000093,CUST-01051,2022-01-08,completed,social_media,10,5.0,False
ORD-000094,CUST-01218,2022-01-08,completed,social_media,0,1.0,False
ORD-000095,CUST-00798,2022-01-08,completed,social_media,5,7.0,False
ORD-000096,CUST-00674,2022-01-08,completed,social_media,5,1.0,False
ORD-000097,CUST-01551,2022-01-08,completed,social_media,0,3.0,False
ORD-000098,CUST-04875,2022-01-08,completed,social_media,0,2.0,False
ORD-000099,CUST-00957,2022-01-08,completed,social_media,0,7.0,False
ORD-000100,CUST-03559,2022-01-08,completed,email,15,1.0,True
ORD-000101,CUST-02965,2022-01-08,completed,organic_search,5,4.0,True
ORD-000102,CUST-03550,2022-01-09,completed,referral,0,2.0,True
ORD-000103,CUST-00631,2022-01-09,completed,social_media,5,5.0,False
